№,Project Name,Website / github / demo,Main Category,Year,Stage,One Line Description,Email,Twitter,GitHub Rep
45,Bitkit,https://www.bitkit.to/,Crypto,2024,,Self custodial Bitcoin and Lightning wallet for fast mobile payments,info@synonym.to,https://x.com/bitkitwallet,https://github.com/synonymdev/bitkit
46,Browser Use,https://browser-use.com,AI & Agents,2024,Seed,Open source web agent project for browser control and automation,team@browser-use.com,https://x.com/browser_use,https://github.com/browser-use/browser-use
47,Karsa,https://gokarsa.com,Crypto,2025,,"Global dollar account for emerging markets with stablecoin savings, transfers, and card spend",support@gokarsa.com,https://x.com/go_karsa,
48,Infinite,https://sardine.ai,Crypto,2024,,Global B2B stablecoin processor with APIs and SDKs for moving money cross border,founders@infinite.dev,https://x.com/sardine,https://github.com/infiniteagents
49,RedotPay,https://www.redotpay.com/,Crypto,2024,,Crypto wallet and payments app focused on spending stablecoins like fiat,support@redotpay.com,https://x.com/redotpay,
50,Kernel,https://www.kernel.sh,AI & Agents,2025,Series A,Browser infrastructure platform for launching web agents and browser automations in the cloud,support@redotpay.com,https://x.com/usekernel,https://github.com/onkernel
51,CellType,https://www.celltype.com,Biotech,2025,,Agentic drug company using biological foundation models and AI agents for drug discovery,david@celltype.com,https://x.com/celltypeinc,
52,Ansa Biotechnologies,http://ansabio.com,Biotech,2018,Series B,"Enzyme based DNA synthesis platform for therapeutics, diagnostics, and biomanufacturing",amr-custcare@idtdna.com,https://x.com/AnsaBio,
53,phospho,http://rerun.io,Robotics,2023,,"SDKs, tutorials, and hardware kits for building intelligent robots in Python",contact@phospho.ai,https://x.com/rerundotio,https://github.com/phospho-app/phosphobot
54,General Trajectory,https://news.ycombinator.com/,Robotics,2024,,AI company focused on physical world autonomy and scientific R&D use cases,joshua@generaltrajectory.com,https://x.com/gentrajectory,https://github.com/GeneralTrajectory/dex-teleop
55,TesterArmy,https://tester.army,Developer Tools,2026,,AI QA agent that tests web apps in a real browser before code ships,,https://x.com/TesterArmy,
56,Dash0,https://www.dash0.com,Infrastructure,2023,Series B,"OpenTelemetry based observability platform for logs, metrics, traces, dashboards, and alerts",hi@dash0.com,https://x.com/dash0hq,https://github.com/dash0hq/dash0-cli
57,Evidently AI,https://www.evidentlyai.com,Infrastructure,2021,,"Evaluation, testing, and monitoring platform for AI products including agents and chatbots",hello@evidentlyai.com,https://x.com/EvidentlyAI,https://github.com/evidentlyai/evidently
58,TensorZero,https://www.tensorzero.com/,Infrastructure,2025,Seed,"Open source stack for industrial grade LLM applications with observability, optimization, and evaluations",hello@tensorzero.com,https://x.com/tensorzero,https://github.com/tensorzero/tensorzero
59,Cerebrium,https://www.cerebrium.ai,Infrastructure,2024,,Serverless AI infrastructure platform for deploying and scaling AI applications with GPU support,media@cerebrium.ai,https://x.com/cerebriumai,https://github.com/CerebriumAI/examples
60,Appwrite,https://appwrite.io,Infrastructure,2022,,Open source cloud development platform with backend infrastructure and web hosting,support@appwrite.io,https://x.com/intent/follow?screen_name=appwrite,https://github.com/appwrite/appwrite
61,SurrealDB,https://surrealdb.com,Infrastructure,2025,,"Multi model cloud ready database for modern applications across cloud, on premises, embedded, and edge",info@surrealdb.com,https://x.com/surrealdb,https://github.com/surrealdb/surrealdb
62,Climatebase,https://climatebase.org,Climate & Energy,2020,,"Platform for discovering climate positive jobs, organizations, and events",team@climatebase.org,https://x.com/climatebase,
63,Beam,https://beam.cloud,Infrastructure,2021,,"AI native cloud platform for inference, sandboxes, and agents",founders@beam.cloud,https://x.com/beam_cloud,https://github.com/beam-cloud/beta9
64,Porter,https://www.porter.run,Infrastructure,2020,Series A,"Platform for deploying and operating workloads across AWS, GCP, and Azure",contact@porter.run,https://x.com/porterdotrun,
65,Prometheus Fuels,https://www.prometheusfuels.com,Climate & Energy,2018,,"Company producing zero net carbon electrofuels from air, water, and renewable electricity",info@prometheusfuels.com,https://x.com/prometheusfuels,
66,Hiro Systems,https://www.hiro.so,Crypto,2013,,Developer tools and infrastructure for Bitcoin L1 and Stacks L2 applications,support@hiro.so,https://x.com/hirosystems,https://github.com/hirosystems
67,ZeroDev,https://zerodev.app,Crypto,2022,,Account abstraction wallets as a service for crypto apps and smart accounts,callred@offchainlabs.com,https://x.com/decentrek,https://github.com/zerodevapp
68,Shaped,https://www.shaped.ai,Infrastructure,2021,,"Platform for recommendation systems and retrieval using user, session, and text context",contact@shaped.ai,https://x.com/shapedai,
69,RunAnywhere,https://runanywhere.ai,Infrastructure,2025,,SDK and control plane for deploying and managing models across edge devices,san@runanywhere.ai,https://x.com/runanywhereai,https://github.com/RunanywhereAI/runanywhere-sdks
70,Didit,https://didit.me,Infrastructure,2023,,Identity verification platform based on face scan and unified identity checks,hello@didit.me,https://x.com/Diditprotocol,
71,Luel,https://luel.ai,Infrastructure,2025,,Sourcing and licensing platform for rights cleared multimodal training data,support@luel.ai,https://x.com/luelcompany,
72,EARTH AI,https://earth-ai.com,Climate & Energy,2016,Series B,Predictive exploration platform for critical metal deposits using AI and drilling tech,contact@earth-ai.com,https://x.com/earthaiexplore,
73,ZeroDev,https://zerodev.app,Crypto,2022,,Account abstraction wallets as a service for crypto apps and smart accounts,info@offchainlabs.com,https://x.com/zerodev_app,https://github.com/zerodevapp
74,HumanLayer,https://www.humanlayer.dev/,AI & Agents,2023,,Human in the loop approval layer for production AI agents,contact@humanlayer.dev,https://x.com/humanlayer_dev,https://github.com/humanlayer
75,OpenPipe,https://openpipe.ai/,Infrastructure,2023,Seed,Platform for improving model quality and cost through data collection and finetuning workflows,support@openpipe.ai,https://x.com/OpenPipeAI,https://github.com/openpipe/openpipe
76,Ragas,https://www.ragas.io/,Developer Tools,2023,,Open source evaluation framework and platform for RAG and agent systems,team@vibrantlabs.com.,https://x.com/Shahules786,https://github.com/explodinggradients/ragas
77,Strata,https://www.klavis.ai/,AI & Agents,2025,,One MCP server for AI agents to handle thousands of tools and multi app workflows,contact@klavis.ai,https://x.com/Klavis_AI,https://github.com/Klavis-AI/klavis
78,Wren,https://projectwren.com,Climate & Energy,2019,,Web app for calculating and offsetting personal carbon footprints,team@wren.co,https://x.com/project_wren,
79,Repo Prompt,https://repoprompt.com,Developer Tools,2026,,"Context builder and MCP backend for Claude Code, Cursor, and Codex to understand codebases better",contact@repoprompt.com,https://x.com/repoprompt,
80,Better Stack,https://betterstack.com,Infrastructure,2020,Series A,"Unified observability and incident response platform with monitoring, logs, tracing, and status pages",hello@betterstack.com,https://x.com/betterstackhq,https://github.com/BetterStackHQ
81,Oh Dear!,https://ohdear.app,Infrastructure,2020,,"Website monitoring platform for uptime, broken links, SSL, mixed content, and health checks",support@ohdear.app,https://x.com/OhDearApp,https://github.com/ohdearapp
82,Fly.io,https://fly.io,Infrastructure,2026,Series B,Developer cloud for launching apps close to users with global infrastructure,billing@fly.io,https://x.com/flydotio,https://github.com/superfly/docs
83,Flightcontrol,https://www.flightcontrol.dev,Infrastructure,2022,Seed,Developer first AWS infrastructure platform for shipping and scaling apps on your own cloud,support@flightcontrol.dev,https://x.com/flightcontrolhq,https://github.com/shuding/nextra
84,Zeabur,https://zeabur.com,Infrastructure,2023,Seed,"Cloud deployment platform for apps, databases, and services with simple workflows",contact@zeabur.com,https://x.com/zeaburapp,https://github.com/zeabur/zbpack
85,DigitalOcean App Platform,https://www.digitalocean.com/products/app-platform,Infrastructure,,,App deployment platform for building and scaling web apps without managing servers,press@digitalocean.com,https://x.com/digitalocean,https://github.com/digitalocean
86,Antimetal,https://antimetal.com,Infrastructure,2023,Series A,AI powered command and control system for AWS cost optimization and infrastructure efficiency,support@antimetal.com,https://x.com/antimetal,https://github.com/antimetal
87,Serverless,https://www.serverless.com,Developer Tools,2016,,Serverless development platform and framework for building cloud applications,contact@serverless.com,https://x.com/goserverless/,https://github.com/serverless/serverless
88,Gadget,https://gadget.dev,Developer Tools,2020,Seed,Full stack platform for building and running web apps with AI support,support@gadget.dev,https://x.com/gadget_dev,https://github.com/gadget-inc
89,Repo Prompt,https://repoprompt.com,Developer Tools,2026,,"Context builder and MCP backend for Claude Code, Cursor, and Codex to understand codebases better",contact@repoprompt.com,https://x.com/repoprompt,
90,Baselime,https://baselime.io,Infrastructure,2024,,Observability and error tracking for cloud applications across serverless and edge runtimes,privacy@baselime.io,https://x.com/baselimeHQ,https://github.com/baselime
91,VoltAgent,https://voltagent.dev/,AI & Agents,2025,,"End to end TypeScript agent engineering platform with memory, RAG, guardrails, MCP, voice, and workflows",info@voltagent.dev,https://x.com/voltagent_dev,https://github.com/VoltAgent/voltagent/blob/main/CONSOLE.md
92,Unify,https://unify.ai/,Infrastructure,2024,Series B,"LLM observability workspace for tracing, debugging, and monitoring model behavior",hello@unify.ai,https://x.com/letsunifyai,https://github.com/unifyai
93,Greenspark,https://greenspark.world,Climate & Energy,2023,Series A,Platform and API for embedding climate action such as tree planting and ocean plastic removal into products,hello@getgreenspark.com,https://x.com/get_greenspark,
94,Klima,https://www.klima.com,Climate & Energy,2020,Series A,App for measuring carbon footprint and funding climate action projects,//info@klima.com.eg,https://x.com/getklima,
95,pay3,https://pay3.so,Crypto,2026,,Single payment link and username for wallet to wallet crypto transfers,support@pay3.so,https://x.com/pay3so,
96,AlphaEarth Foundations,https://deepmind.google/models/alphaearth-foundations/,Climate & Energy,2025,,AI model that integrates Earth observation data to map land and coastal waters in high detail,gdm-press@google.com,https://x.com/googledeepmind,https://github.com/google-deepmind
97,SigNoz,https://signoz.io/,Infrastructure,2021,Seed,Open source observability platform positioned as an alternative to Datadog for cloud software monitoring,support@signoz.io,https://x.com/signozhq,https://github.com/SigNoz/signoz
98,Commons,https://www.thecommons.earth/,Climate & Energy,2023,,"Consumer platform for tracking, reducing, and offsetting personal emissions with practical sustainability guidance",info@thecommons.earth,https://x.com/thecommonsearth,
99,Emergent,https://app.emergent.sh/landing/?via=ph,AI & Agents,2025,,Multi agent app builder focused on shipping full stack apps end to end,privacy@emergent.sh,https://x.com/emergentlabs,
100,Nora,https://www.mynora.ai/,Crypto,2025,,AI coding agent focused on building and securing Web3 applications and smart contracts,support@mynora.ai,https://x.com/mynoraai,https://github.com/Generative-Labs/Substrate-HotStuff
101,goose,https://goose-docs.ai/,AI & Agents,2025,,Local open source AI agent that automates engineering tasks from start to finish,,https://x.com/goose_oss,https://github.com/aaif-goose/goose
102,DevExpress MCP Server,https://www.devexpress.com/,Developer Tools,,,Documentation MCP server for connecting AI coding assistants to DevExpress docs and examples,info@devexpress.com,https://x.com/DevExpress,https://github.com/en/copilot
103,Beefree SDK MCP Server,https://developers.beefree.io/,Developer Tools,2014,,"MCP server that exposes editor, templates, and check APIs to AI agents",beta-feedback@beefree.io,https://x.com/beefreeio,https://github.com/BeefreeSDK/beefree-sdk-docs
104,BlueWallet,https://bluewallet.io/,Crypto,,,Open source Bitcoin and Lightning wallet for iOS and Android,bluewallet@bluewallet.io,https://x.com/bluewalletio,https://github.com/BlueWallet/BlueWallet
105,Isaac Sim,https://developer.nvidia.com/isaac/sim,Robotics,,,"Simulation platform for developing, testing, training, and deploying AI powered robots in realistic virtual environments",omniversecommunity@nvidia.com,https://x.com/NVIDIAAIDev,https://github.com/isaac-sim/IsaacSim
106,MetaGPT,https://atoms.dev/metagpt,AI & Agents,2025,,Open source multi agent framework that structures software style collaboration among AI agents,alexanderwu@deepwisdom.ai,https://x.com/MetaGPT_,https://github.com/FoundationAgents/MetaGPT
107,crewAI,https://crewai.com/,AI & Agents,2024,,Open source Python framework for orchestrating collaborative autonomous agents,matt@crewai.com,https://x.com/crewAIInc,https://github.com/crewAIInc/crewAI
108,Agent S,https://www.simular.ai/,AI & Agents,2025,,Open source framework for autonomous computer use through agent computer interaction,support@simular.ai,https://x.com/SimularAI,https://github.com/simular-ai/agent-s
109,Cashmere,https://cashmere.finance/,Crypto,2021,Seed,Enterprise multisig Solana wallet for startups and teams managing digital assets,,https://x.com/CashmereWallet,
110,Phoenix Wallet,https://phoenix.acinq.co/,Crypto,,,Self custodial Bitcoin wallet with native Lightning support,phoenix@acinq.co,https://x.com/PhoenixWallet,https://github.com/search-github/github-code-search
111,LNbits,https://lnbits.com/,Crypto,,,Open source Lightning wallet server with APIs and extension system for custom wallet products,shop@lnbits.com,https://x.com/lnbits,https://github.com/lnbits/lnbits
112,Manufact,https://manufact.com,Developer Tools,2025,Seed,Open source dev tools and cloud infrastructure for building and deploying MCP servers and ChatGPT apps,founders@mcp-use.com,https://x.com/manufact,https://github.com/mcp-use/mcp-use
113,OneKey,https://onekey.so/,Crypto,2022,,"Open source multi chain crypto wallet supporting Bitcoin, Ethereum, Solana, Tron, and more",dev@onekey.so,https://x.com/OneKeyHQ,https://github.com/OneKeyHQ/app-monorepo
114,Cake Wallet,https://cakewallet.com/,Crypto,,,Open source non custodial multi currency wallet for mobile and desktop,support@cakewallet.com,https://x.com/cakewallet,https://github.com/cake-tech/cake_wallet
115,kos-rs,https://klever.io/,Crypto,,,Low level open source crypto wallet library for cross chain blockchain applications,privacy@klever.com,https://x.com/klever_io/,https://github.com/klever-io/kos-rs
116,hud,https://www.hud.so,Infrastructure,2025,,Platform for building RL environments and evals for computer use agents,contact@support.shop.hud.ai,https://x.com/hud_evals,https://github.com/hud-evals
117,ParaQuery,https://paraquery.com,Infrastructure,2023,,High performance query and data infrastructure company for analytics workloads,win@paraquery.com,https://x.com/paraquery_,
118,Embedder,https://embedder.dev/,Developer Tools,2025,,Embedding and retrieval tooling for AI apps and agent workflows,founders@embedder.dev,https://x.com/embedder_dev,
119,Respan,https://respan.ai,Infrastructure,2023,,"Control plane for tracing, evaluating, and improving AI agent behavior in production",support@respan.ai,https://x.com/RespanAI,
120,Unifold,https://unifold.io/,Crypto,2026,,Developer first API and SDK for accepting onchain deposits across chains and tokens,hello@unifold.io,https://x.com/unifold_io,
121,Freeport Markets,http://freeportmarkets.com,Crypto,2025,,AI market intelligence platform that turns trusted information sources into tradable feeds,bryan.reed@freeportmarkets.com,https://x.com/freeportmrkts,
122,Poko,http://Pokoapp.xyz,Crypto,2021,Seed,"Fiat to crypto onramp SDK for wallets, marketplaces, games, and dapps using local payment rails",geoffrey@pokoapp.xyz,https://x.com/poko_app,
123,Rainmaker,http://www.rainmaker.nyc,Crypto,2022,,Account abstraction based crypto wallet for simple DeFi investing with email onboarding and gas free flows,founders@rainmaker.nyc,https://x.com/RainmakerWallet,
124,Martian Wallet,https://martianwallet.xyz/,Crypto,2022,Pre-Seed,Self custodial wallet for Aptos and Sui with social and NFT features,support@martiandao.xyz,https://x.com/martian_wallet,
125,Cryptomus,https://cryptomus.com/,Crypto,2022,,"Multifunctional crypto platform with wallet, trading, and merchant payment features",support@cryptomus.com,https://x.com/cryptomus,
126,Yellow Card Wallet Infrastructure,https://yellowcard.io/,Crypto,,,API first wallet infrastructure for managing segregated stablecoin vaults and payment flows,john.doe@yellowcard.io,https://x.com/yellowcard_app/,
127,Blockradar Wallets,https://docs.blockradar.co/en/essentials/wallets,Crypto,,,"Wallet API docs for creating master wallets, addresses, and stablecoin deposit flows",support@blockradar.co,https://x.com/BlockradarHQ,https://github.com/blockradar
128,Lucent,https://lucenthq.com,AI & Agents,2025,,AI that improves products by learning from user behavior,alisa@lucenthq.com,https://x.com/lucent_ai,
129,Oximy,https://oximy.com,AI & Agents,2025,Seed,Enterprise platform to monitor and control AI activity,hello@oximy.com,https://x.com/oximyHQ,https://github.com/oximy
130,ARC Prize Foundation,https://arcprize.org/,AI & Agents,2024,,AI benchmarks for measuring general intelligence,team@arcprize.org,https://x.com/arcprize,https://github.com/arcprize
131,Sparkles,https://sparkles.dev,Developer Tools,2025,Seed,Tool that lets non engineers make code changes in existing products,dan@sparkles.dev,https://x.com/Sparklesdotdev,https://github.com/sparklesdotdev
132,Fastshot,https://www.fastshot.ai/,Developer Tools,2025,,No code AI platform for building mobile apps,founders@fastshot.ai,https://x.com/fastshot_ai,
133,The Context Company,https://thecontext.company,Developer Tools,2025,,Monitoring for AI agents and user behavior,founders@thecontext.company,https://x.com/thecontextco,https://github.com/the-context-company
134,s2.dev,https://s2.dev,Developer Tools,2024,,API for durable unlimited real time streams,hi@s2.dev,https://x.com/s2_streamstore,https://github.com/s2-streamstore
135,Deeptrace,https://deeptrace.com/,Developer Tools,2025,,AI agents for on call and production issue response,sri@deeptrace.com,https://twitter.com/deeptraceai,https://github.com/mintlify
136,Golpo,https://video.golpoai.com/,Developer Tools,2024,,AI tool for creating whiteboard explainer videos from prompts or documents,founders@golpoai.com,https://x.com/GolpoAI,
137,VibeFlow,https://vibeflow.ai/,Developer Tools,2025,,All in one platform for app building automation and database workflows,founders@vibeflow.ai,https://twitter.com/vibeflowai,
138,Interfere,https://interfere.com,Developer Tools,2025,,Platform for building software that never breaks,support@interfere.com,https://x.com/interfere_,
139,Tornyol,https://tornyol.com/,Robotics,2025,,Micro drones designed to kill mosquitoes,info@tornyol.com,https://x.com/alextoussss,
140,Zeon Systems,https://www.zeonsystems.ai/,Robotics,2025,,AI robotics platform for scientific lab automation,founders@zeonsystems.ai,https://x.com/zeonsystems,
141,Weave Robotics,https://www.weaverobots.com,Robotics,2024,,Personal home robots,contact@weaverobots.com,https://x.com/weaverobotics,
142,Ultra,https://ultra.tech,Robotics,2024,,General purpose robots for repetitive industrial work,info@ultra.tech,https://x.com/Ultraroboticsco,
143,Tensol,https://www.tensol.ai,Infrastructure,,,AI employees for business workflows powered by OpenClaw,founders@tensol.ai,https://twitter.com/tensol_ai,https://github.com/openclaw
144,Dome,https://domeapi.io,Infrastructure,2025,Seed,Unified API for prediction markets like Kalshi and Polymarket,support@domeapi.com,https://x.com/getdomeapi,
145,Bolna AI,https://bolna.ai,Infrastructure,2025,Seed,Voice AI platform built for India,hello@bolna.ai,https://x.com/bolna_dev,
146,HelixDB,https://helix-db.com,Infrastructure,2025,,High performance graph vector database,george@helix-db.com,https://x.com/helixdb,
147,Bun,https://bun.sh,Infrastructure,2019,,Fast all in one JavaScript toolkit,,https://x.com/bunjavascript,
148,Blaxel,https://blaxel.ai,Infrastructure,2024,,Perpetual sandbox platform for agents and workloads,privacy@blaxel.ai,https://x.com/blaxelai,https://github.com/blaxel-ai
149,Airweave,https://airweave.ai,Infrastructure,2025,Seed,Open source context retrieval layer for agents,hello@airweave.ai,https://x.com/airweave_ai,
150,General Proximity,https://www.generalproximity.bio/,Biotech,2020,,Drug company building next generation induced proximity medicines,hello@generalproximity.bio,https://x.com/proxbio,
151,Undermind,https://www.undermind.ai,Biotech,2023,,AI agent for scientific research,support@undermind.ai,https://twitter.com/UndermindAI,
152,Tamarind Bio,https://www.tamarind.bio,Biotech,2023,,AI inference platform for drug discovery,info@tamarind.bio,https://x.com/tamarindbio,
153,Multifactor,https://multifactor.com,Crypto,2025,Seed,Zero trust authentication authorization and auditing platform for AI agents,legal@multifactor.com,https://x.com/multifactorcom,https://github.com/multifactor
154,Axiom,https://axiom.trade,Crypto,2024,Pre-Seed,Crypto trading platform for memecoins perpetuals and yield,founders@axiom.trading,https://x.com/axiomexchange,
155,Littio,https://www.littio.co/,Crypto,2021,Seed,Dollar banking app for users in Latin America,data@littio.co,https://twitter.com/littioco,
156,DolarApp,https://www.dolarapp.com/,Crypto,2021,,Financial platform for affluent consumers across the Americas,help@arqfinance.com,https://x.com/arq_finance,
157,EthosX,https://www.ethosx.finance/,Crypto,2022,,Blockchain derivatives protocol,team@ethosx.finance,https://twitter.com/ethosx_finance,
158,Ping,https://www.letsping.com/,Crypto,2021,,Neobank for contractors and freelancers worldwide,info@holaping.com,https://twitter.com/holapinglatam,
159,Blockscope,https://www.blockscope.co/,Crypto,2022,,Web3 intelligence and analytics platform,hello@blockscope.tech,https://x.com/BlockscopeCo,
160,Bitstack,https://www.bitstack-app.com,Crypto,2021,,Consumer fintech app for saving and managing money with Bitcoin features,hello@bitstack-app.com,https://x.com/bitstack?lang=en,
161,Argument Computer Corporation,https://argument.xyz,Crypto,2020,,Infrastructure company for faster verifiable computing,contact@argument.xyz,https://x.com/argumentxyz,https://github.com/argumentcomputer
162,Magna,https://magna.so,Crypto,2022,,Token vesting and investment management platform for Web3 teams,support@magna.so,https://x.com/magna_digital,https://github.com/magna-eng
163,SimpleHash,https://www.simplehash.com,Crypto,2022,,Multi chain token data platform for crypto applications,support@simplehash.com,https://x.com/SimpleHashInc,
